,addr_mask,chksum,code,gw,id,len,ptr,reserved,seq,time,ts_ori,ts_rx,ts_tx,type,unused
371,,,,,,1514,,,,1488942617.986712,,,,,
372,,,,,,1514,,,,1488942617.986714,,,,,
373,,,,,,242,,,,1488942617.986716,,,,,
374,,837.0,0.0,,17631.0,1514,,,16.0,1488942617.986748,,,,0.0,
375,,,,,,1514,,,,1488942617.986759,,,,,
376,,,,,,1514,,,,1488942617.986761,,,,,
377,,,,,,1514,,,,1488942617.986762,,,,,
378,,,,,,1514,,,,1488942617.986763,,,,,
379,,,,,,1514,,,,1488942617.986764,,,,,
380,,,,,,1514,,,,1488942617.986765,,,,,
381,,,,,,1514,,,,1488942617.986767,,,,,
382,,,,,,1514,,,,1488942617.986768,,,,,
383,,,,,,1514,,,,1488942617.986769,,,,,
384,,,,,,242,,,,1488942617.98677,,,,,
385,,16614.0,0.0,,17631.0,1514,,,17.0,1488942619.010566,,,,8.0,
386,,,,,,1514,,,,1488942619.010584,,,,,
387,,,,,,1514,,,,1488942619.010587,,,,,
388,,,,,,1514,,,,1488942619.01059,,,,,
389,,,,,,1514,,,,1488942619.010593,,,,,
390,,,,,,1514,,,,1488942619.010603,,,,,
391,,,,,,1514,,,,1488942619.010635,,,,,
392,,,,,,1514,,,,1488942619.010638,,,,,
393,,,,,,1514,,,,1488942619.01064,,,,,
394,,,,,,1514,,,,1488942619.010641,,,,,
395,,,,,,242,,,,1488942619.010643,,,,,
396,,18662.0,0.0,,17631.0,1514,,,17.0,1488942619.010676,,,,0.0,
397,,,,,,1514,,,,1488942619.010705,,,,,
398,,,,,,1514,,,,1488942619.010719,,,,,
399,,,,,,1514,,,,1488942619.010731,,,,,
400,,,,,,1514,,,,1488942619.010742,,,,,
401,,,,,,1514,,,,1488942619.010762,,,,,
402,,,,,,1514,,,,1488942619.010774,,,,,
403,,,,,,1514,,,,1488942619.010785,,,,,
404,,,,,,1514,,,,1488942619.010796,,,,,
405,,,,,,1514,,,,1488942619.01081,,,,,
406,,,,,,242,,,,1488942619.010821,,,,,
407,,30855.0,0.0,,17631.0,1514,,,18.0,1488942620.034545,,,,8.0,
408,,,,,,1514,,,,1488942620.034561,,,,,
409,,,,,,1514,,,,1488942620.034568,,,,,
410,,,,,,1514,,,,1488942620.03457,,,,,
411,,,,,,1514,,,,1488942620.034572,,,,,
412,,,,,,1514,,,,1488942620.034574,,,,,
413,,,,,,1514,,,,1488942620.034619,,,,,
414,,,,,,1514,,,,1488942620.034622,,,,,
415,,,,,,1514,,,,1488942620.034624,,,,,
416,,,,,,1514,,,,1488942620.034626,,,,,
417,,,,,,242,,,,1488942620.034628,,,,,
418,,32903.0,0.0,,17631.0,1514,,,18.0,1488942620.034661,,,,0.0,
419,,,,,,1514,,,,1488942620.03467,,,,,
420,,,,,,1514,,,,1488942620.034671,,,,,
421,,,,,,1514,,,,1488942620.034672,,,,,
422,,,,,,1514,,,,1488942620.034673,,,,,
423,,,,,,1514,,,,1488942620.034674,,,,,
424,,,,,,1514,,,,1488942620.034676,,,,,
425,,,,,,1514,,,,1488942620.034677,,,,,
426,,,,,,1514,,,,1488942620.034678,,,,,
427,,,,,,1514,,,,1488942620.034679,,,,,
428,,,,,,242,,,,1488942620.03468,,,,,
429,,45864.0,0.0,,17631.0,1514,,,19.0,1488942621.058504,,,,8.0,
430,,,,,,1514,,,,1488942621.058522,,,,,
431,,,,,,1514,,,,1488942621.058525,,,,,
432,,,,,,1514,,,,1488942621.058527,,,,,
433,,,,,,1514,,,,1488942621.058529,,,,,
434,,,,,,1514,,,,1488942621.058532,,,,,
435,,,,,,1514,,,,1488942621.058574,,,,,
436,,,,,,1514,,,,1488942621.058577,,,,,
437,,,,,,1514,,,,1488942621.05858,,,,,
438,,,,,,1514,,,,1488942621.058581,,,,,
439,,,,,,242,,,,1488942621.058583,,,,,
440,,47912.0,0.0,,17631.0,1514,,,19.0,1488942621.058615,,,,0.0,
441,,,,,,1514,,,,1488942621.058624,,,,,
442,,,,,,1514,,,,1488942621.058626,,,,,
443,,,,,,1514,,,,1488942621.058627,,,,,
444,,,,,,1514,,,,1488942621.058628,,,,,
445,,,,,,1514,,,,1488942621.058629,,,,,
446,,,,,,1514,,,,1488942621.05863,,,,,
447,,,,,,1514,,,,1488942621.058631,,,,,
448,,,,,,1514,,,,1488942621.058632,,,,,
449,,,,,,1514,,,,1488942621.058633,,,,,
450,,,,,,242,,,,1488942621.058634,,,,,
