,ethDst,ethSrc,ipv4Dst,ipv4Flg,ipv4Frg,ipv4Ihl,ipv4Len,ipv4Pro,ipv4Src,ipv4TTL,ipv4Tos,len,time
149,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1110,5,1500,1,192.168.238.229,64,0,1514,1488942607.747102
150,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1295,5,1500,1,192.168.238.229,64,0,1514,1488942607.747105
151,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1480,5,1500,1,192.168.238.229,64,0,1514,1488942607.747108
152,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1665,5,1500,1,192.168.238.229,64,0,1514,1488942607.74711
153,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,0,1850,5,228,1,192.168.238.229,64,0,242,1488942607.747112
154,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,0,5,1500,1,192.168.238.50,64,0,1514,1488942607.747151
155,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,185,5,1500,1,192.168.238.50,64,0,1514,1488942607.747162
156,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,370,5,1500,1,192.168.238.50,64,0,1514,1488942607.747164
157,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,555,5,1500,1,192.168.238.50,64,0,1514,1488942607.747165
158,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,740,5,1500,1,192.168.238.50,64,0,1514,1488942607.747166
159,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,925,5,1500,1,192.168.238.50,64,0,1514,1488942607.747167
160,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1110,5,1500,1,192.168.238.50,64,0,1514,1488942607.747168
161,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1295,5,1500,1,192.168.238.50,64,0,1514,1488942607.747169
162,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1480,5,1500,1,192.168.238.50,64,0,1514,1488942607.74717
163,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1665,5,1500,1,192.168.238.50,64,0,1514,1488942607.747172
164,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,0,1850,5,228,1,192.168.238.50,64,0,242,1488942607.747173
165,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,0,5,1500,1,192.168.238.229,64,0,1514,1488942608.770996
166,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,185,5,1500,1,192.168.238.229,64,0,1514,1488942608.771019
167,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,370,5,1500,1,192.168.238.229,64,0,1514,1488942608.771022
168,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,555,5,1500,1,192.168.238.229,64,0,1514,1488942608.771024
169,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,740,5,1500,1,192.168.238.229,64,0,1514,1488942608.771025
170,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,925,5,1500,1,192.168.238.229,64,0,1514,1488942608.771028
171,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1110,5,1500,1,192.168.238.229,64,0,1514,1488942608.77103
172,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1295,5,1500,1,192.168.238.229,64,0,1514,1488942608.771032
173,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1480,5,1500,1,192.168.238.229,64,0,1514,1488942608.771034
174,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,1,1665,5,1500,1,192.168.238.229,64,0,1514,1488942608.771036
175,00:0c:29:ff:bf:45,00:22:15:8b:e3:ba,192.168.238.50,0,1850,5,228,1,192.168.238.229,64,0,242,1488942608.771037
176,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,0,5,1500,1,192.168.238.50,64,0,1514,1488942608.77107
177,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,185,5,1500,1,192.168.238.50,64,0,1514,1488942608.771084
178,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,370,5,1500,1,192.168.238.50,64,0,1514,1488942608.771085
179,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,555,5,1500,1,192.168.238.50,64,0,1514,1488942608.771086
180,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,740,5,1500,1,192.168.238.50,64,0,1514,1488942608.771087
181,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,925,5,1500,1,192.168.238.50,64,0,1514,1488942608.771089
182,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1110,5,1500,1,192.168.238.50,64,0,1514,1488942608.77109
183,00:22:15:8b:e3:ba,00:0c:29:ff:bf:45,192.168.238.229,1,1295,5,1500,1,192.168.238.50,64,0,1514,1488942608.771091
